customer_cif,device_id,ip_address,geo_city,geo_country,gps_lat,gps_lon,browser_app_info,vpn_flag,emulator_flag
304131642725,9503dd51fc522c1313a0bb2006dc019e,157.202.78.246,Jodhpur,IN,16.054331,82.519756,v9.0.1,N,N
138351753697,cc0ce4b44b38eba8a9cbbbd207c7aa86,117.228.0.113,Indore,IN,23.208666,75.468987,v9.0.1,N,N
138351753697,d5fac5f17edf693501f6b6d1700d346f,122.245.113.122,Indore,IN,23.22108,75.488151,v9.0.1,N,N
979237919461,3d2e3995eed528e68956df77291668a0,122.109.0.130,Puri,IN,18.771836,74.44788,v9.0.1,N,N
925170371472,39b6835ca2150c41e8e1ec8c60d677fb,106.170.87.13,Bhopal,IN,23.206493,77.430723,SamsungBrowser/24.0,N,N
925170371472,dc03d24d4adc9625c6976ca6565314ae,49.235.7.29,Bhopal,IN,23.210714,77.436648,Chrome/124.0,N,N
324225003175,d701a34db055c406bff515d2cd78fbfa,117.82.0.100,Gurugram,IN,22.64751,75.186125,Chrome/124.0,N,N
324225003175,012dd7ffd8ccd1ed865b6685a7b47542,103.211.30.149,Gurugram,IN,22.636029,75.189808,Safari/17.4,N,N
324225003175,838328ddbafd59e94e31623d0f4a8e33,103.170.126.85,Gurugram,IN,22.648909,75.194235,Firefox/125.0,N,N
744690562756,6d558d4c41c748908a1a5c26d7e1e8e8,122.99.39.70,Ahmedabad,IN,22.997291,72.528866,v9.0.1,N,N
439960859238,cb231f85d5b296cdfc1aa820816b6089,117.155.111.140,Jabalpur,IN,23.222677,74.018664,Firefox/125.0,N,N
439960859238,e68eaf44da717f2560933887264c3f28,182.204.124.59,Jabalpur,IN,23.218854,74.033404,v9.0.1,N,N
732178290002,3eea36f89204805ae67a3af1df7c2500,122.154.54.220,Mangaluru,IN,20.972654,75.636887,v9.1.0,N,N
122667325400,c2a66c75f737543d9cb48c23c41b4b55,182.222.222.83,Kota,IN,21.714923,75.684133,v9.1.0,N,N
592852787535,25e2df3eaa23df2419d8bc59e7457e07,203.124.150.197,Kolkata,IN,22.611024,88.335535,SamsungBrowser/24.0,N,N
592852787535,c1cf45e2a1d118e1cb82155fd61a7475,59.13.222.125,Kolkata,IN,22.62414,88.332795,v9.1.0,N,N
186883955729,2119317794dee59bbd07843910a7691c,157.127.233.13,Durgapur,IN,20.683612,80.770444,Firefox/125.0,N,N
186883955729,e36b369994eba4731822e623bf91194e,106.255.102.158,Durgapur,IN,20.676754,80.773041,v7.5.3,N,N
142955110710,3c2e0f7bdf3def6516b59d8857425297,182.113.121.109,Siliguri,IN,20.421798,76.187636,v9.1.0,N,N
