feature,vif,r_squared,target_corr
sender_balance_after_txn,10000.0,1.0,0.0874778060496403
sender_running_balance_txn_amount,10000.0,1.0,0.14633886753428813
receiver_acct_txn_count_30d,10000.0,1.0,0.07318851029268769
sender_cust_txn_count_1h,10000.0,1.0,0.07380915789301681
receiver_acct_outflow_count_7d,10000.0,1.0,0.09231797925086281
receiver_acct_outflow_count_30d,10000.0,1.0,0.0935718574901358
sender_acct_txn_count_1h,10000.0,1.0,0.0829509646858134
receiver_acct_txn_count_7d,10000.0,1.0,0.08029555548379409
receiver_acct_inflow_count_24h,10000.0,1.0,0.028470759147870974
receiver_acct_inflow_count_30d,10000.0,1.0,0.028756243741700802
receiver_acct_inflow_count_7d,10000.0,1.0,0.029417779692033526
sender_cust_outflow_count_1h,10000.0,1.0,0.05629399931887411
sender_cust_inflow_count_1h,10000.0,1.0,0.04874574020362396
receiver_acct_outflow_count_24h,10000.0,1.0,0.05126795257368661
sender_acct_outflow_count_1h,10000.0,1.0,0.06118458241409687
sender_acct_inflow_count_1h,10000.0,1.0,0.05720216180374297
receiver_acct_txn_count_24h,10000.0,1.0,0.05656867759472083
sender_balance_before_txn,10000.0,1.0,0.0728475158323296
receiver_balance_before_txn,85.54680522183885,0.9883104927483053,0.08355120918515863
receiver_balance_after_txn,85.38436683978802,0.9882882541967388,0.08530016985620632
sender_acct_outflow_count_24h,21.093661125216517,0.9525923928490277,0.061967882401898364
sender_acct_txn_count_24h,18.828761732862773,0.9468897628963752,0.05928782460807252
sender_cust_outflow_count_24h,18.776871945427832,0.9467429930338583,0.05301307019853318
sender_cust_txn_count_24h,18.080535239486956,0.9446919028250861,0.04793319648942718
sender_acct_inflow_amt_1h,10.331364978858288,0.9032073688185093,0.11369633939698227
sender_acct_inflow_count_30d,10.19463179110595,0.9019091595958939,0.07769833143838971
sender_cust_inflow_amt_1h,9.768715578034257,0.8976323968067429,0.10659594583638114
sender_acct_outflow_amt_1h,9.131234633525231,0.8904857842193091,0.028287941712135597
sender_cust_outflow_amt_1h,8.966641260471887,0.8884755204372509,0.029099661646811128
sender_acct_txn_count_30d,8.229185278385142,0.8784812874943271,0.030786607722362087
sender_cust_inflow_count_30d,7.999211665356085,0.8749876810572577,0.047071793824905526
sender_cust_inflow_count_7d,7.295863419243848,0.8629360306605574,0.031189832027174572
sender_cumulative_daily_balance_change,6.579499773024116,0.848012761684408,0.10803265931869008
sender_acct_inflow_count_7d,6.04941317045817,0.8346947097474808,0.04520651000694069
sender_acct_outflow_amt_24h,5.886883816533348,0.8301308415172907,0.04056022731189505
sender_acct_inflow_amt_24h,5.183626065514147,0.8070848499947086,0.07628913156019253
sender_acct_outflow_amt_30d,5.02617580620095,0.8010415794118724,0.037702871735475804
sender_cust_outflow_amt_24h,4.72297813497762,0.7882691870635267,0.032703464561454995
sender_cust_inflow_amt_24h,4.4998361604682415,0.7777696866421149,0.06163656064455742
sender_cust_outflow_amt_30d,3.9909620077636303,0.7494338462619546,0.028641751578050337
receiver_acct_outflow_amt_30d,3.0014586652706483,0.6668286618200595,0.06435783278988667
sender_acct_outflow_count_7d,2.79466552949722,0.6421754269177582,0.028573198723623492
receiver_acct_outflow_amt_7d,2.3353047432438645,0.5717903614536637,0.05146496532912114
sender_acct_outflow_amt_7d,2.2531134563548876,0.5561697094393945,0.034836905125922836
receiver_acct_outflow_amt_24h,1.5029421308838582,0.3346383872997727,0.028942201465965826
inflow_outflow_volume_balance_ratio_7d,1.2753149176511127,0.21587994764319884,0.03991212590125834
ip_flag_country_high_risk,1.2196163479215787,0.18007002636184744,0.1970696596778403
ip_flag_cross_border,1.21010371950222,0.17362455475192395,0.14861636418829352
receiver_acct_outflow_count_1h,1.1171559599543859,0.10486983389424831,0.027987737627373718
ip_flag_night,1.005302480307704,0.005274512310047164,0.10072747685511631
