feature,correlation,abs_correlation
ip_flag_country_high_risk,0.1970696596778403,0.1970696596778403
ip_flag_cross_border,0.14861636418829352,0.14861636418829352
sender_running_balance_txn_amount,-0.14633886753428813,0.14633886753428813
sender_acct_inflow_amt_1h,0.11369633939698227,0.11369633939698227
sender_cumulative_daily_balance_change,-0.10803265931869008,0.10803265931869008
sender_cust_inflow_amt_1h,0.10659594583638114,0.10659594583638114
ip_flag_night,-0.10072747685511631,0.10072747685511631
receiver_acct_outflow_count_30d,0.0935718574901358,0.0935718574901358
receiver_acct_outflow_count_7d,0.09231797925086281,0.09231797925086281
sender_balance_after_txn,-0.0874778060496403,0.0874778060496403
receiver_balance_after_txn,-0.08530016985620632,0.08530016985620632
receiver_balance_before_txn,-0.08355120918515863,0.08355120918515863
sender_acct_txn_count_1h,0.0829509646858134,0.0829509646858134
receiver_acct_txn_count_7d,0.08029555548379409,0.08029555548379409
sender_acct_inflow_count_30d,-0.07769833143838971,0.07769833143838971
sender_acct_inflow_amt_24h,0.07628913156019253,0.07628913156019253
sender_cust_txn_count_1h,0.07380915789301681,0.07380915789301681
receiver_acct_txn_count_30d,0.07318851029268769,0.07318851029268769
sender_balance_before_txn,-0.0728475158323296,0.0728475158323296
receiver_acct_outflow_amt_30d,0.06435783278988667,0.06435783278988667
sender_acct_outflow_count_24h,0.061967882401898364,0.061967882401898364
sender_cust_inflow_amt_24h,0.06163656064455742,0.06163656064455742
sender_acct_outflow_count_1h,0.06118458241409687,0.06118458241409687
sender_acct_txn_count_24h,0.05928782460807252,0.05928782460807252
sender_acct_inflow_count_1h,0.05720216180374297,0.05720216180374297
receiver_acct_txn_count_24h,0.05656867759472083,0.05656867759472083
sender_cust_outflow_count_1h,0.05629399931887411,0.05629399931887411
sender_cust_outflow_count_24h,0.05301307019853318,0.05301307019853318
receiver_acct_outflow_amt_7d,0.05146496532912114,0.05146496532912114
receiver_acct_outflow_count_24h,0.05126795257368661,0.05126795257368661
sender_cust_inflow_count_1h,0.04874574020362396,0.04874574020362396
sender_cust_txn_count_24h,0.04793319648942718,0.04793319648942718
sender_cust_inflow_count_30d,-0.047071793824905526,0.047071793824905526
sender_acct_inflow_count_7d,-0.04520651000694069,0.04520651000694069
sender_acct_outflow_amt_24h,0.04056022731189505,0.04056022731189505
inflow_outflow_volume_balance_ratio_7d,-0.03991212590125834,0.03991212590125834
sender_acct_outflow_amt_30d,0.037702871735475804,0.037702871735475804
sender_acct_outflow_amt_7d,0.034836905125922836,0.034836905125922836
sender_cust_outflow_amt_24h,0.032703464561454995,0.032703464561454995
sender_cust_inflow_count_7d,-0.031189832027174572,0.031189832027174572
sender_acct_txn_count_30d,-0.030786607722362087,0.030786607722362087
receiver_acct_inflow_count_7d,0.029417779692033526,0.029417779692033526
sender_cust_outflow_amt_1h,0.029099661646811128,0.029099661646811128
receiver_acct_outflow_amt_24h,0.028942201465965826,0.028942201465965826
receiver_acct_inflow_count_30d,0.028756243741700802,0.028756243741700802
sender_cust_outflow_amt_30d,0.028641751578050337,0.028641751578050337
sender_acct_outflow_count_7d,0.028573198723623492,0.028573198723623492
receiver_acct_inflow_count_24h,0.028470759147870974,0.028470759147870974
sender_acct_outflow_amt_1h,0.028287941712135597,0.028287941712135597
receiver_acct_outflow_count_1h,0.027987737627373718,0.027987737627373718
receiver_running_balance_txn_amount,-0.02779655349872357,0.02779655349872357
sender_cust_outflow_amt_7d,0.027279671137518544,0.027279671137518544
sender_acct_inflow_amt_30d,-0.024679331686701063,0.024679331686701063
receiver_acct_txn_count_1h,0.023289480181885567,0.023289480181885567
sender_cust_outflow_count_7d,0.021698811199698784,0.021698811199698784
sender_cust_inflow_amt_30d,-0.017277108825589714,0.017277108825589714
sender_cust_txn_count_30d,-0.015350419069390267,0.015350419069390267
ip_risk_score,0.01424811954216005,0.01424811954216005
receiver_acct_inflow_amt_24h,0.01357193477729024,0.01357193477729024
sender_acct_inflow_amt_7d,0.012412614596060622,0.012412614596060622
sender_acct_inflow_count_24h,0.011952008175440896,0.011952008175440896
inflow_outflow_volume_balance_ratio_24h,-0.010635846331182081,0.010635846331182081
receiver_acct_outflow_amt_1h,0.010328134273027638,0.010328134273027638
sender_cust_inflow_amt_7d,0.009767560490535029,0.009767560490535029
sender_cust_inflow_count_24h,0.008266961539647467,0.008266961539647467
receiver_acct_inflow_amt_1h,-0.007925663809889726,0.007925663809889726
sender_cust_outflow_count_30d,0.007548387702065274,0.007548387702065274
sender_acct_outflow_count_30d,0.00687151644490638,0.00687151644490638
receiver_acct_inflow_amt_7d,0.006566614456105782,0.006566614456105782
ip_flag_kyc_verified,-0.005288934131618282,0.005288934131618282
ip_flag_shared_ip,0.00474608322850333,0.00474608322850333
receiver_acct_inflow_amt_30d,-0.0036212014718388892,0.0036212014718388892
ip_flag_vpn,-0.0033046020533473983,0.0033046020533473983
ip_flag_emulator,0.002938630269733016,0.002938630269733016
receiver_acct_inflow_count_1h,0.0024259773686646367,0.0024259773686646367
sender_acct_txn_count_7d,-0.00203644394943019,0.00203644394943019
sender_cust_txn_count_7d,0.00011092126796365223,0.00011092126796365223
ip_flag_geo_mismatch,0.0,0.0
