feature,vif,r_squared,target_corr
sender_acct_txn_count_30d,10000.0,1.0,0.26250949942456026
sender_acct_outflow_count_30d,10000.0,1.0,0.25815404183135804
sender_cust_outflow_count_30d,10000.0,1.0,0.24533659416507375
sender_cust_txn_count_30d,10000.0,1.0,0.24461679686686552
sender_acct_inflow_count_30d,10000.0,1.0,0.22607281518428735
sender_cust_inflow_count_30d,10000.0,1.0,0.21996020639201386
receiver_account_outflow_30d,10000.0,1.0,0.21651287430650537
receiver_acct_outflow_count_30d,10000.0,1.0,0.21651287430650537
receiver_acct_txn_count_30d,10000.0,1.0,0.21526328814051135
receiver_acct_inflow_count_30d,10000.0,1.0,0.1872711569316893
sender_balance_before_txn,10000.0,1.0,0.11207595645746263
sender_balance_after_txn,10000.0,1.0,0.10613984129769491
sender_running_balance_txn_amount,10000.0,1.0,0.03063375652650363
receiver_balance_before_txn,39.56964006967602,0.9747280996683529,0.11185090587919229
receiver_balance_after_txn,38.23781579401374,0.9738478786187219,0.10995630362570141
rule_offshore_entity,16.54263140773785,0.9395501250464755,0.03665011579079163
rule_tax_res_mismatch_xborder,13.601730188712223,0.9264799414393708,0.03676461109115084
sender_cust_outflow_count_7d,11.659759379677286,0.9142349368081318,0.03575139496906506
convergence_risk,10.5895242090131,0.9055670509588272,0.19057460579269914
sender_cust_txn_count_7d,8.22720844605227,0.878452088997473,0.030202008154600515
receiver_acct_txn_count_7d,7.72589081191594,0.870565087658544,0.022820568222130185
sender_acct_inflow_amt_1h,6.3318618560509545,0.8420685696033681,0.031533352692672705
receiver_acct_outflow_count_7d,6.217773283651763,0.8391707200664142,0.031010600593235505
sender_cust_inflow_amt_1h,6.130748426753702,0.8368877777407822,0.028779345336239808
sender_acct_outflow_amt_30d,5.874310083386867,0.8297672431647591,0.10720724656838133
sender_cust_outflow_amt_30d,5.62575349698151,0.8222460332582029,0.11722645668399426
sender_acct_outflow_count_7d,5.536195659727137,0.8193705458651931,0.02741845907742458
inflow_outflow_volume_balance_ratio_7d,5.1215847497153835,0.8047479346982256,0.028237778581415764
sender_acct_inflow_amt_30d,4.7666480053503095,0.7902089688859859,0.08330538126352949
sender_cust_inflow_amt_30d,4.4469073578396445,0.775124615934025,0.09731421271716159
rule_attempted_failed,3.3374059870886947,0.7003660915487463,0.190774035516076
transaction_status_enc,3.336557000247987,0.700289849708644,0.20718302749032252
sender_cumulative_daily_balance_change,3.1329021752566306,0.6808071417301482,0.022748835727971855
ip_flag_cross_border,2.6707136440662715,0.6255682438206072,0.04938678268590843
receiver_acct_outflow_amt_30d,2.534359511422733,0.6054229893222125,0.10926139343034649
rule_high_freq_foreign,2.261992548407781,0.5579118946683087,0.02334592085738537
rule_repeated_counterparty_7d,2.063705717575125,0.5154347872936991,0.02887821637923943
rule_large_foreign_indiv,2.0553275121878354,0.5134595367063766,0.02468050999737319
receiver_acct_inflow_amt_30d,2.048643448569265,0.5118721119097706,0.07768086398789523
transaction_amount,1.9499901946233666,0.48717690850073925,0.02277264871257608
rule_negative_list_country,1.828330893770655,0.4530530532481176,0.062314911296351014
ip_flag_country_high_risk,1.556539860927002,0.3575493791694824,0.07740330312927121
rule_large_intra_individual,1.4945876729034886,0.33091914370113107,0.048376747655593154
rule_large_intra_same_cust,1.4097518290972937,0.29065529169036086,0.04873705244660125
rule_unusual_type_spike,1.3967731286015106,0.2840641192738088,0.052506030956781344
typology_signal,1.1728447120153147,0.1473722055823684,0.060932348839906184
transaction_type_dr_cr_enc,1.0812233691220483,0.07512172918349103,0.0388129524078559
transaction_mode_channel_bank_enc,1.0147453246766756,0.0145310594866489,0.03481909101227601
sender_bal_ratio_after_to_current,1.0055565840115197,0.005525879000615297,0.020887622723249594
receiver_bal_ratio_after_to_current,1.001903934089881,0.0019003160134415387,0.023335121810391483
