feature,correlation,abs_correlation
sender_acct_txn_count_30d,-0.26250949942456026,0.26250949942456026
sender_acct_outflow_count_30d,-0.25815404183135804,0.25815404183135804
sender_cust_outflow_count_30d,-0.24533659416507375,0.24533659416507375
sender_cust_txn_count_30d,-0.24461679686686552,0.24461679686686552
sender_acct_inflow_count_30d,-0.22607281518428735,0.22607281518428735
sender_cust_inflow_count_30d,-0.21996020639201386,0.21996020639201386
receiver_account_outflow_30d,-0.21651287430650537,0.21651287430650537
receiver_acct_outflow_count_30d,-0.21651287430650537,0.21651287430650537
receiver_acct_txn_count_30d,-0.21526328814051135,0.21526328814051135
transaction_status_enc,0.20718302749032252,0.20718302749032252
rule_attempted_failed,-0.190774035516076,0.190774035516076
convergence_risk,-0.19057460579269914,0.19057460579269914
receiver_acct_inflow_count_30d,-0.1872711569316893,0.1872711569316893
sender_cust_outflow_amt_30d,-0.11722645668399426,0.11722645668399426
sender_balance_before_txn,0.11207595645746263,0.11207595645746263
receiver_balance_before_txn,0.11185090587919229,0.11185090587919229
receiver_balance_after_txn,0.10995630362570141,0.10995630362570141
receiver_acct_outflow_amt_30d,-0.10926139343034649,0.10926139343034649
sender_acct_outflow_amt_30d,-0.10720724656838133,0.10720724656838133
sender_balance_after_txn,0.10613984129769491,0.10613984129769491
sender_cust_inflow_amt_30d,-0.09731421271716159,0.09731421271716159
sender_acct_inflow_amt_30d,-0.08330538126352949,0.08330538126352949
receiver_acct_inflow_amt_30d,-0.07768086398789523,0.07768086398789523
ip_flag_country_high_risk,0.07740330312927121,0.07740330312927121
rule_negative_list_country,0.062314911296351014,0.062314911296351014
typology_signal,0.060932348839906184,0.060932348839906184
rule_unusual_type_spike,0.052506030956781344,0.052506030956781344
ip_flag_cross_border,0.04938678268590843,0.04938678268590843
rule_large_intra_same_cust,0.04873705244660125,0.04873705244660125
rule_large_intra_individual,0.048376747655593154,0.048376747655593154
transaction_type_dr_cr_enc,0.0388129524078559,0.0388129524078559
rule_tax_res_mismatch_xborder,0.03676461109115084,0.03676461109115084
rule_offshore_entity,0.03665011579079163,0.03665011579079163
sender_cust_outflow_count_7d,-0.03575139496906506,0.03575139496906506
transaction_mode_channel_bank_enc,0.03481909101227601,0.03481909101227601
