customer_cif,device_id,ip_address,geo_city,geo_country,gps_lat,gps_lon,browser_app_info,vpn_flag,emulator_flag
940840953632,3024e7703a2404e783c2a31c566222e5,122.69.207.32,Mysuru,IN,20.996737,80.049913,Safari/17.4,N,N
940840953632,6f7f8c8d092129ff90d1fa00512d191e,59.128.150.32,Mysuru,IN,20.987107,80.060031,Edge/124.0,N,N
117122923227,799afadbe74578cffd7a4d54d0b4d986,117.180.5.34,Saket,IN,18.099538,80.118889,v7.5.3,N,N
117122923227,756d0222a12c851987ca46b890689d61,122.69.139.8,Saket,IN,18.102761,80.128775,Firefox/125.0,N,N
117122923227,e875f9cc6323cd3fdb929d10062fc55f,182.242.38.53,Saket,IN,18.088215,80.130916,v7.5.3,N,N
287017054471,8ea8154c57e7f99e3268bc212e37ccac,49.236.130.117,Mysuru,IN,20.173018,73.770129,Chrome/124.0,N,N
697493790038,ba6f16324bdf265773270dc7b780a50f,122.27.83.179,Siliguri,IN,16.356146,82.517819,Edge/124.0,N,N
697493790038,f7c3f459851f04a4a9101322dab99a3c,59.109.32.124,Siliguri,IN,16.355046,82.509537,v9.0.1,N,N
853245194538,c549cb59a235669df8531ff8814b169c,49.160.102.22,Noida,IN,20.915644,76.743825,Safari/17.4,N,N
853245194538,a12f09eabd8b877a2be35ed20585727e,203.209.7.16,Noida,IN,20.929318,76.756836,v8.2.0,N,N
404212388703,db774c9db3f6f393a8cc75070e9e4b3a,106.52.158.3,Pune,IN,18.473428,73.874176,v9.1.0,N,N
404212388703,4b040f2be08b388f0b285813c591475b,106.47.85.224,Pune,IN,18.480455,73.869421,Firefox/125.0,N,N
369567029517,5aab23bd419fee27ba53a0fbdd5fa7bb,103.85.221.157,Varanasi,IN,18.240677,73.461933,v9.1.0,N,N
369567029517,c029ee72cdcaac48a0f34a4335d65b0a,182.190.132.230,Varanasi,IN,18.249304,73.460685,v8.2.0,N,N
660527203252,748d84d705cb6bcb0157316f93dde4e1,117.8.51.236,Dwarka,IN,21.591817,74.654524,v8.1.2,N,N
397744233667,9ec90c310554c3a60404eb6b58488128,182.29.161.198,Madurai,IN,19.624601,76.256823,Chrome/124.0,N,N
397744233667,f02e596cee0cb39da2e2239866e2f0e1,122.253.177.74,Madurai,IN,19.630723,76.255792,v7.5.3,N,N
397744233667,54a448f65c2ba0aaf0e0fc30d742841b,49.57.125.95,Madurai,IN,19.638802,76.264071,v9.0.1,N,N
582149202067,550a276b735bd1a2f1a5f6293376872a,103.71.250.65,New Delhi,IN,28.596833,77.182954,v7.5.3,N,N
